shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
ryan myers,2020-21,Iona,MAAC,fr,G,24,17,0.708333333,Iona,Iona,rymyers,Non-Power
sam masten,2020-21,N Colorado,BSky,jr,G,24,13,0.541666667,Northern Colorado,Northern Colorado,samasten,Non-Power
sammy hunter,2019-20,Ole Miss,SEC,fr,F,24,18,0.75,Mississippi,Ole Miss,sahunter,Power
samuli nieminen,2017-18,SF Austin,Slnd,so,G,24,18,0.75,Stephen F. Austin,Stephen F. Austin,sanieminen,Non-Power
scott blakney,2021-22,Montana,BSky,sr,F,24,17,0.708333333,Montana,Montana,scblakney,Non-Power
sean east,2020-21,Bradley,MVC,so,G,24,20,0.833333333,Bradley,Bradley,seeast,Non-Power
sebastian mendoza,2020-21,San Jose State,MWC,fr,G,24,14,0.583333333,San Jose St.,San José State,semendoza,Non-Power
seth berger,2017-18,Oregon State,P12,sr,F,24,13,0.541666667,Oregon St.,Oregon State,seberger,Power
sir issac herron,2021-22,Oral Roberts,Sum,fr,F/C,24,17,0.708333333,Oral Roberts,Oral Roberts,siissac,Non-Power
skyler baggs,2019-20,Southern,SWAC,jr,F/C,24,9,0.375,Southern,Southern,skbaggs,Non-Power
souleymane koureissi,2018-19,Richmond,A10,fr,F,24,14,0.583333333,Richmond,Richmond,sokoureissi,Non-Power
stephane ingo,2019-20,Maine,AE,fr,F/C,24,17,0.708333333,Maine,Maine,stingo,Non-Power
sunday okeke,2018-19,Wake Forest,ACC,so,F,24,14,0.583333333,Wake Forest,Wake Forest,suokeke,Power
tahirou diabate,2021-22,San Diego State,MWC,sr,F,24,12,0.5,San Diego St.,San Diego State,tadiabate,Non-Power
tamar bates,2021-22,Indiana,B10,fr,G,24,20,0.833333333,Indiana,Indiana,tabates,Power
tareq coburn,2021-22,St John's,BE,sr,G,24,15,0.625,St. John's,St. John's,tacoburn,Power
terell strickland,2021-22,JMU,CAA,fr,G,24,12,0.5,James Madison,James Madison,testrickland,Non-Power
terrence hargrove,2021-22,Saint Louis,A10,so,G,24,12,0.5,Saint Louis,Saint Louis,tehargrove,Non-Power
theo john,2021-22,Duke,ACC,sr,F,24,15,0.625,Duke,Duke,thjohn,Power
thomas dziagwa,2019-20,Oklahoma State,B12,sr,G,24,20,0.833333333,Oklahoma St.,Oklahoma State,thdziagwa,Power
thomas howell,2020-21,UL Monroe,SB,fr,F/C,24,16,0.666666667,Louisiana Monroe,Ul Monroe,thhowell,Non-Power
tobias sjoberg,2018-19,Marist,MAAC,jr,C,24,16,0.666666667,Marist,Marist,tosjoberg,Non-Power
toby hegner,2017-18,Creighton,BE,sr,F,24,21,0.875,Creighton,Creighton,tohegner,Power
torrence watson,2019-20,Missouri,SEC,so,G,24,21,0.875,Missouri,Missouri,towatson,Power
tory stewart-miller,2018-19,Denver,Sum,sr,F/C,24,24,1,Denver,Denver,tostewart,Non-Power
travion mccray,2020-21,W Carolina,SC,so,G,24,15,0.625,Western Carolina,Western Carolina,trmccray,Non-Power
tre cobbs,2019-20,N Kentucky,Horz,jr,G,24,15,0.625,Northern Kentucky,Northern Kentucky,trcobbs,Non-Power
tre gray,2018-19,Texas A&M-CC,Slnd,so,G,24,20,0.833333333,Texas A&M Corpus Chris,Texas A&M-CC,trgray,Non-Power
trey dawkins,2019-20,Ga Southern,SB,sr,F/C,24,17,0.708333333,Georgia Southern,Georgia Southern,trdawkins,Non-Power
trey robinson,2021-22,N Kentucky,Horz,so,G,24,14,0.583333333,Northern Kentucky,Northern Kentucky,trrobinson,Non-Power
trey wade,2017-18,UTEP,CUSA,fr,F/C,24,8,0.333333333,UTEP,UTEP,trwade,Non-Power
tristan green,2021-22,Denver,Sum,sr,F,24,14,0.583333333,Denver,Denver,trgreen,Non-Power
ty rowell,2018-19,Cal Baptist,WAC,so,G,24,19,0.791666667,Cal Baptist,Cal Baptist,tyrowell,Non-Power
tye fagan,2019-20,Georgia,SEC,so,G,24,15,0.625,Georgia,Georgia,tyfagan,Power
tyree eady,2019-20,North Dakota St,Sum,so,G,24,17,0.708333333,North Dakota St.,North Dakota State,tyeady,Non-Power
tyrei randall,2019-20,Rider,MAAC,so,F,24,13,0.541666667,Rider,Rider,tyrandall,Non-Power
tyrese haliburton,2018-19,Iowa State,B12,fr,G,24,17,0.708333333,Iowa St.,Iowa State,tyhaliburton,Power
umoja gibson,2018-19,North Texas,CUSA,fr,G,24,19,0.791666667,North Texas,North Texas,umgibson,Non-Power
victor uyaelunmo,2018-19,USC,P12,so,F,24,7,0.291666667,USC,USC,viuyaelunmo,Power
william douglas,2017-18,SMU,Amer,fr,G,24,18,0.75,SMU,SMU,widouglas,Non-Power
yaradyah evans,2020-21,St Francis (BKN),NEC,sr,F/C,24,16,0.666666667,St. Francis NY,St. Francis (BKN),yaevans,Non-Power
zach harvey,2019-20,Cincinnati,Amer,fr,G,24,13,0.541666667,Cincinnati,Cincinnati,zaharvey,Non-Power
zahree harrison,2020-21,St Francis (PA),NEC,fr,G,24,16,0.666666667,St. Francis PA,St. Francis (PA),zaharrison,Non-Power
zeke quinlan,2018-19,Montana State,BSky,fr,F/C,24,13,0.541666667,Montana St.,Montana State,zequinlan,Non-Power
zion morgan,2019-20,Valparaiso,MVC,jr,F,24,11,0.458333333,Valparaiso,Valparaiso,zimorgan,Non-Power
zion williams,2019-20,UMKC,WAC,jr,G,24,12,0.5,UMKC,UM Kansas City,ziwilliams,Non-Power
aaron nettles,2020-21,Seattle,WAC,sr,G,23,17,0.739130435,Seattle,Seattle U,aanettles,Non-Power
abdoul karim coulibaly,2021-22,St Bonaventure,A10,so,F/C,23,14,0.608695652,St. Bonaventure,St. Bonaventure,abkarim,Non-Power
adama sanogo,2020-21,UConn,BE,fr,F,23,13,0.565217391,Connecticut,Connecticut,adsanogo,Power
adili kuerban,2019-20,Kennesaw State,ASun,so,G,23,17,0.739130435,Kennesaw St.,Kennesaw State,adkuerban,Non-Power
alec wnuk,2017-18,UNC Asheville,BSth,sr,G,23,16,0.695652174,UNC Asheville,UNC Asheville,alwnuk,Non-Power
alex caldwell,2021-22,NC Central,MEAC,sr,G,23,13,0.565217391,North Carolina Central,North Carolina Central,alcaldwell,Non-Power
